Metal,Substrate,Me_MagpieData mean Column,Me_MagpieData mean CovalentRadius,Me_MagpieData mean NdValence,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1373,123
Sn0.96Al0.04,Al2O3,13.96,138.28,9.6,0,0,144.36,406.268,3.2,1373,114
Sn0.875Al0.125,Al2O3,13.875,136.75,8.75,0,0,151.5,406.268,3.2,1373,66
Sn0.86Al0.14,Al2O3,13.86,136.48,8.6,0,0,152.76,406.268,3.2,1373,73
Sn0.4Al0.6,Al2O3,13.4,128.2,4,0,0,191.4,406.268,3.2,1373,71
Sn0.1Al0.9,Al2O3,13.1,122.8,1,0,0,216.6,406.268,3.2,1373,79
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1273,73
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1273,123
Sn0.9Al0.1,Al2O3,13.9,137.2,9,0,0,149.4,406.268,3.2,1273,109
Sn0.85Al0.15,Al2O3,13.85,136.3,8.5,0,0,153.6,406.268,3.2,1273,71
Sn0.7Al0.3,Al2O3,13.7,133.6,7,0,0,166.2,406.268,3.2,1273,66
Sn0.4Al0.6,Al2O3,13.4,128.2,4,0,0,191.4,406.268,3.2,1273,67
Sn0.1Al0.9,Al2O3,13.1,122.8,1,0,0,216.6,406.268,3.2,1273,70
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1373,81
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1350,138
Cu0.905Ti0.095,Al2O3,10.335,134.66,9.24,0,2.14E-06,222.055,406.268,3.2,1350,30
Cu0.874Ti0.126,Al2O3,10.118,135.528,8.992,0,2.84E-06,221.094,406.268,3.2,1350,20
Cu0.874Ti0.126,Al2O3,10.118,135.528,8.992,0,2.84E-06,221.094,406.268,3.2,1350,38
Ni0.5Pd0.5,Al2O3,10,131.5,9,0,0.29769735,225,406.268,3.2,1523,113
Ni0.475Pd0.475Ti0.05,Al2O3,9.7,132.925,8.65,0,0.282813609,223.45,406.268,3.2,1523,97
Ni0.425Pd0.425Ti0.15,Al2O3,9.1,135.775,7.95,0,0.253046128,220.35,406.268,3.2,1523,70
Ni0.375Pd0.375Ti0.25,Al2O3,8.5,138.625,7.25,0,0.223278646,217.25,406.268,3.2,1523,50
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1173,103
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,973,150
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,98
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1173,68
Al,Ca1O1,13,121,0,0,0,225,584.9,1,1173,100
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,130
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1150,82
Au,Al2O3,11,136,10,0,0,225,406.268,3.2,1373,140
Au,Al2O3,11,136,10,0,0,225,406.268,3.2,1365,131
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1423,128
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1853,109
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1873,130
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,1173,118
In,Al2O3,13,142,10,0,0,139,406.268,3.2,429,124
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,109
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1873,123
Pb,Al2O3,14,146,10,0,0,225,406.268,3.2,1173,117
Pb,Al2O3,14,146,10,0,0,225,406.268,3.2,1173,132
Sb,Al2O3,15,139,10,0,0,166,406.268,3.2,998,102
Si,Al2O3,14,111,0,0.773,0,227,406.268,3.2,1723,80
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1373,125
Al0.98Ca0.02,Ca1O1,12.78,122.1,0,0,0,225,584.9,1,1173,92
Al0.9Mg0.1,Mg1O1,11.9,123,0,0,0,221.9,488.9,1,1173,102
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1523,120
Cu0.975O0.025,Al2O3,11.125,130.35,9.75,0,0,219.675,406.268,3.2,1523,30
Cu0.9Ti0.1,Ti1O1,10.3,134.8,9.2,0,2.25E-06,221.9,997.9,1,1423,30
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1373,128
Cu0.975Ti0.025,Al2O3,10.825,132.7,9.8,0,5.63E-07,224.225,406.268,3.2,1373,75
Cu0.95Ti0.05,Al2O3,10.65,133.4,9.6,0,1.13E-06,223.45,406.268,3.2,1373,44
Cu0.925Ti0.075,Al2O3,10.475,134.1,9.4,0,1.69E-06,222.675,406.268,3.2,1373,31
Cu0.9Ti0.1,Al2O3,10.3,134.8,9.2,0,2.25E-06,221.9,406.268,3.2,1373,27
Cu0.875Ti0.125,Al2O3,10.125,135.5,9,0,2.82E-06,221.125,406.268,3.2,1373,21
Cu0.75Ti0.25,Al2O3,9.25,139,8,0,5.63E-06,217.25,406.268,3.2,1273,33
Cu0.75Ti0.25,Al2O3,9.25,139,8,0,5.63E-06,217.25,406.268,3.2,1373,16
Cu0.75Ti0.25,Al2O3,9.25,139,8,0,5.63E-06,217.25,406.268,3.2,1473,10
Cu0.75Ti0.25,Al2O3,9.25,139,8,0,5.63E-06,217.25,406.268,3.2,1573,12
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,87.5
Al0.92Mg0.08,Si1O2,12.12,122.6,0,0,0,222.52,598.8666667,2.666666667,1073,76.5
Al0.8Mg0.2,Si1O2,10.8,125,0,0,0,218.8,598.8666667,2.666666667,1073,50
Al0.57Mg0.43,Si1O2,8.27,129.6,0,0,0,211.67,598.8666667,2.666666667,1073,18
Al0.31Mg0.69,Si1O2,5.41,134.8,0,0,0,203.61,598.8666667,2.666666667,1073,6.5
Mg,Si1O2,2,141,0,0,0,194,598.8666667,2.666666667,1073,4
Al0.57Mg0.43,Si1O2,8.27,129.6,0,0,0,211.67,598.8666667,2.666666667,1023,15
Al0.57Mg0.43,Si1O2,8.27,129.6,0,0,0,211.67,598.8666667,2.666666667,1123,32
Au,Al2O3,11,136,10,0,0,225,406.268,3.2,1423,137.5
Au0.99Ti0.01,Al2O3,10.93,136.24,9.92,0,2.25E-07,224.69,406.268,3.2,1423,97.2
Au0.98Ti0.02,Al2O3,10.86,136.48,9.84,0,4.51E-07,224.38,406.268,3.2,1423,85.8
Au0.97Ti0.03,Al2O3,10.79,136.72,9.76,0,6.76E-07,224.07,406.268,3.2,1423,78.3
Au0.94Ti0.06,Al2O3,10.58,137.44,9.52,0,1.35E-06,223.14,406.268,3.2,1423,69.2
Au0.92Ti0.08,Al2O3,10.44,137.92,9.36,0,1.80E-06,222.52,406.268,3.2,1423,68.1
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,1323,125.3
Ga0.996Ti0.004,Al2O3,12.964,122.152,9.968,0,9.01E-08,64.52,406.268,3.2,1323,74.3
Ga0.992Ti0.008,Al2O3,12.928,122.304,9.936,0,1.80E-07,65.04,406.268,3.2,1323,72.7
Ga0.991Ti0.009,Al2O3,12.919,122.342,9.928,0,2.03E-07,65.17,406.268,3.2,1323,69.4
Ga0.99Ti0.01,Al2O3,12.91,122.38,9.92,0,2.25E-07,65.3,406.268,3.2,1323,65.6
Ga0.978Ti0.022,Al2O3,12.802,122.836,9.824,0,4.96E-07,66.86,406.268,3.2,1323,63.1
Ga0.962Ti0.038,Al2O3,12.658,123.444,9.696,0,8.56E-07,68.94,406.268,3.2,1323,56.3
Ga0.957Ti0.043,Al2O3,12.613,123.634,9.656,0,9.69E-07,69.59,406.268,3.2,1323,64.8
Ga0.938Ti0.062,Al2O3,12.442,124.356,9.504,0,1.40E-06,72.06,406.268,3.2,1323,57
Ga0.92Ti0.08,Al2O3,12.28,125.04,9.36,0,1.80E-06,74.4,406.268,3.2,1323,64.2
Cu0.99Ti0.01,Mg1O1,10.93,132.28,9.92,0,2.25E-07,224.69,488.9,1,1423,95
Cu0.98Ti0.02,Mg1O1,10.86,132.56,9.84,0,4.51E-07,224.38,488.9,1,1423,61.9
Cu0.97Ti0.03,Mg1O1,10.79,132.84,9.76,0,6.76E-07,224.07,488.9,1,1423,44.4
Cu0.96Ti0.04,Mg1O1,10.72,133.12,9.68,0,9.01E-07,223.76,488.9,1,1423,37.5
Cu0.94Ti0.06,Mg1O1,10.58,133.68,9.52,0,1.35E-06,223.14,488.9,1,1423,28.1
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1423,128.6
Cu0.99Ti0.01,Al2O3,10.93,132.28,9.92,0,2.25E-07,224.69,406.268,3.2,1423,88.9
Cu0.98Ti0.02,Al2O3,10.86,132.56,9.84,0,4.51E-07,224.38,406.268,3.2,1423,51.4
Cu0.96Ti0.04,Al2O3,10.72,133.12,9.68,0,9.01E-07,223.76,406.268,3.2,1423,33.1
Cu0.94Ti0.06,Al2O3,10.58,133.68,9.52,0,1.35E-06,223.14,406.268,3.2,1423,23.6
Cu0.92Ti0.08,Al2O3,10.44,134.24,9.36,0,1.80E-06,222.52,406.268,3.2,1423,16.9
Sn,Si1O2,14,139,10,0,0,141,598.8666667,2.666666667,1273,128.1
Sn0.99Ti0.01,Si1O2,13.9,139.21,9.92,0,2.25E-07,141.53,598.8666667,2.666666667,1273,48.3
Sn0.98Ti0.02,Si1O2,13.8,139.42,9.84,0,4.51E-07,142.06,598.8666667,2.666666667,1273,31.4
Sn0.97Ti0.03,Si1O2,13.7,139.63,9.76,0,6.76E-07,142.59,598.8666667,2.666666667,1273,19.4
Sn0.96Ti0.04,Si1O2,13.6,139.84,9.68,0,9.01E-07,143.12,598.8666667,2.666666667,1273,13.1
Sn0.94Ti0.06,Si1O2,13.4,140.26,9.52,0,1.35E-06,144.18,598.8666667,2.666666667,1273,6.4
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1173,128.1
Sn0.995Sc0.005,Al2O3,13.945,139.155,9.955,0,3.18E-08,141.265,406.268,3.2,1173,71
Sn0.994Sc0.006,Al2O3,13.934,139.186,9.946,0,3.81E-08,141.318,406.268,3.2,1173,54.9
Sn0.993Sc0.007,Al2O3,13.923,139.217,9.937,0,4.45E-08,141.371,406.268,3.2,1173,49.9
Sn0.992Sc0.008,Al2O3,13.912,139.248,9.928,0,5.08E-08,141.424,406.268,3.2,1173,46.1
Sn0.982Sc0.018,Al2O3,13.802,139.558,9.838,0,1.14E-07,141.954,406.268,3.2,1173,35.8
Sn0.981Sc0.019,Al2O3,13.791,139.589,9.829,0,1.21E-07,142.007,406.268,3.2,1173,35.2
In,Al2O3,13,142,10,0,0,139,406.268,3.2,973,129.2
In0.992Sc0.008,Al2O3,12.92,142.224,9.928,0,5.08E-08,139.44,406.268,3.2,973,19.4
In0.986Sc0.014,Al2O3,12.86,142.392,9.874,0,8.89E-08,139.77,406.268,3.2,973,12.9
In0.984Sc0.016,Al2O3,12.84,142.448,9.856,0,1.02E-07,139.88,406.268,3.2,973,11.3
In0.979Sc0.021,Al2O3,12.79,142.588,9.811,0,1.33E-07,140.155,406.268,3.2,973,11.4
In0.973Sc0.027,Al2O3,12.73,142.756,9.757,0,1.71E-07,140.485,406.268,3.2,973,10.5
In0.952Sc0.048,Al2O3,12.52,143.344,9.568,0,3.05E-07,141.64,406.268,3.2,973,11.1
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1423,161.4
Ag0.72Cu0.28,Ca1F2,11,141.36,10,0,0,225,407.3333333,0.666666667,1423,125.5
Bi,U1O2,15,148,10,0,0,12,505.8666667,1.333333333,1073,163.2
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,973,133
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1073,127
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1173,127
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1273,127
Sn0.98Ti0.02,Al2O3,13.8,139.42,9.84,0,4.51E-07,142.06,406.268,3.2,973,92
Sn0.98Ti0.02,Al2O3,13.8,139.42,9.84,0,4.51E-07,142.06,406.268,3.2,1073,78
Sn0.98Ti0.02,Al2O3,13.8,139.42,9.84,0,4.51E-07,142.06,406.268,3.2,1173,77
Sn0.98Ti0.02,Al2O3,13.8,139.42,9.84,0,4.51E-07,142.06,406.268,3.2,1273,77
Sn0.95Ti0.05,Al2O3,13.5,140.05,9.6,0,1.13E-06,143.65,406.268,3.2,973,83
Sn0.95Ti0.05,Al2O3,13.5,140.05,9.6,0,1.13E-06,143.65,406.268,3.2,1073,59
Sn0.95Ti0.05,Al2O3,13.5,140.05,9.6,0,1.13E-06,143.65,406.268,3.2,1173,50
Sn0.95Ti0.05,Al2O3,13.5,140.05,9.6,0,1.13E-06,143.65,406.268,3.2,1273,49
Al,Ti1O2,13,121,0,0,0,225,683.5333333,1.333333333,973,148
Al,Ti1O2,13,121,0,0,0,225,683.5333333,1.333333333,1073,127
Al,Ti1O2,13,121,0,0,0,225,683.5333333,1.333333333,1173,91
Al,Ti1O2,13,121,0,0,0,225,683.5333333,1.333333333,1273,85
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,132
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1838,133
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1848,134
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1858,134
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1873,132
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,115
Fe0.84Cr0.16,Al2O3,7.68,133.12,5.84,0,1.772956752,229,406.268,3.2,1823,155
Fe0.84Cr0.16,Al2O3,7.68,133.12,5.84,0,1.772956752,229,406.268,3.2,1823,148
Fe0.68Cr0.32,Al2O3,7.36,134.24,5.68,0,1.435250704,229,406.268,3.2,1823,147
Fe0.68Cr0.32,Al2O3,7.36,134.24,5.68,0,1.435250704,229,406.268,3.2,1823,143
Fe0.68Cr0.32,Al2O3,7.36,134.24,5.68,0,1.435250704,229,406.268,3.2,1823,140
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,119
Fe0.88Cr0.12,Al2O3,7.76,132.84,5.88,0,1.857383264,229,406.268,3.2,1823,118
Fe0.83Cr0.17,Al2O3,7.66,133.19,5.83,0,1.751850124,229,406.268,3.2,1823,117
Fe0.8Cr0.2,Al2O3,7.6,133.4,5.8,0,1.68853024,229,406.268,3.2,1823,110
Fe0.78Cr0.22,Al2O3,7.56,133.54,5.78,0,1.646316984,229,406.268,3.2,1823,114
Fe0.88Cr0.12,Mg1O1,7.76,132.84,5.88,0,1.857383264,229,488.9,1,1823,102
Fe0.83Cr0.17,Mg1O1,7.66,133.19,5.83,0,1.751850124,229,488.9,1,1823,114
Fe0.8Cr0.2,Mg1O1,7.6,133.4,5.8,0,1.68853024,229,488.9,1,1823,102
Fe0.78Cr0.22,Mg1O1,7.56,133.54,5.78,0,1.646316984,229,488.9,1,1823,102
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,121
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,118
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,110
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,99
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,94
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,90
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,91
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,85
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,79
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,129
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,120
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,112
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,86
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1381,130
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1381,110
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1381,96
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1381,92
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1381,86
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1381,82.5
Cu,Y2O3,11,132,10,0,0,225,752.48,1.2,1423,145
Ag,Y2O3,11,145,10,0,0,225,752.48,1.2,1423,141
Au,Y2O3,11,136,10,0,0,225,752.48,1.2,1423,134
Sn,Y2O3,14,139,10,0,0,141,752.48,1.2,1423,84
Ge,Y2O3,14,120,10,0.383,0,225,752.48,1.2,1423,47
Cu,Gd2O3,11,132,10,0,0,225,667.28,1.2,1423,129
Ag,Gd2O3,11,145,10,0,0,225,667.28,1.2,1423,128
Au,Gd2O3,11,136,10,0,0,225,667.28,1.2,1423,127
Sn,Gd2O3,14,139,10,0,0,141,667.28,1.2,1423,81
Ge,Gd2O3,14,120,10,0.383,0,225,667.28,1.2,1423,43
Cu,Tb2O3,11,132,10,0,0,225,684.48,1.2,1423,148
Ag,Tb2O3,11,145,10,0,0,225,684.48,1.2,1423,137
Au,Tb2O3,11,136,10,0,0,225,684.48,1.2,1423,130
Sn,Tb2O3,14,139,10,0,0,141,684.48,1.2,1423,75
Ge,Tb2O3,14,120,10,0.383,0,225,684.48,1.2,1423,41
Cu,Dy2O3,11,132,10,0,0,225,706.88,1.2,1423,147
Ag,Dy2O3,11,145,10,0,0,225,706.88,1.2,1423,137
Au,Dy2O3,11,136,10,0,0,225,706.88,1.2,1423,132
Sn,Dy2O3,14,139,10,0,0,141,706.88,1.2,1423,85
Ge,Dy2O3,14,120,10,0.383,0,225,706.88,1.2,1423,46
Cu,Ho2O3,11,132,10,0,0,225,731.68,1.2,1423,149
Ag,Ho2O3,11,145,10,0,0,225,731.68,1.2,1423,145
Au,Ho2O3,11,136,10,0,0,225,731.68,1.2,1423,144
Sn,Ho2O3,14,139,10,0,0,141,731.68,1.2,1423,96
Ge,Ho2O3,14,120,10,0.383,0,225,731.68,1.2,1423,57
Cu,Er2O3,11,132,10,0,0,225,740.88,1.2,1423,152
Ag,Er2O3,11,145,10,0,0,225,740.88,1.2,1423,145
Au,Er2O3,11,136,10,0,0,225,740.88,1.2,1423,140
Sn,Er2O3,14,139,10,0,0,141,740.88,1.2,1423,88
Ge,Er2O3,14,120,10,0.383,0,225,740.88,1.2,1423,53
Cu,Tm2O3,11,132,10,0,0,225,760.08,1.2,1423,148
Ag,Tm2O3,11,145,10,0,0,225,760.08,1.2,1423,144
Au,Tm2O3,11,136,10,0,0,225,760.08,1.2,1423,127
Sn,Tm2O3,14,139,10,0,0,141,760.08,1.2,1423,81
Ge,Tm2O3,14,120,10,0.383,0,225,760.08,1.2,1423,46
Cu,Yb2O3,11,132,10,0,0,225,469.68,1.2,1423,125
Ag,Yb2O3,11,145,10,0,0,225,469.68,1.2,1423,116
Au,Yb2O3,11,136,10,0,0,225,469.68,1.2,1423,113
Sn,Yb2O3,14,139,10,0,0,141,469.68,1.2,1423,81
Ge,Yb2O3,14,120,10,0.383,0,225,469.68,1.2,1423,51
Cu,Lu2O3,11,132,10,0,0,225,807.28,1.2,1423,149
Ag,Lu2O3,11,145,10,0,0,225,807.28,1.2,1423,147
Au,Lu2O3,11,136,10,0,0,225,807.28,1.2,1423,140
Sn,Lu2O3,14,139,10,0,0,141,807.28,1.2,1423,92
Ge,Lu2O3,14,120,10,0.383,0,225,807.28,1.2,1423,81
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1423,134
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1423,130
Au,Al2O3,11,136,10,0,0,225,406.268,3.2,1423,126
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1423,124
Ge,Al2O3,14,120,10,0.383,0,225,406.268,3.2,1423,110
Ag0.96Ti0.04,Y2O3,10.72,145.6,9.68,0,9.01E-07,223.76,752.48,1.2,1423,71
Ag0.96Ti0.04,Er2O3,10.72,145.6,9.68,0,9.01E-07,223.76,740.88,1.2,1423,71
Ag0.96Ti0.04,Al2O3,10.72,145.6,9.68,0,9.01E-07,223.76,406.268,3.2,1423,67
Au0.92Ti0.08,Y2O3,10.44,137.92,9.36,0,1.80E-06,222.52,752.48,1.2,1423,65
Au0.92Ti0.08,Cd2O3,10.44,137.92,9.36,0,1.80E-06,222.52,270.568,1.2,1423,59
Au0.92Ti0.08,Er2O3,10.44,137.92,9.36,0,1.80E-06,222.52,740.88,1.2,1423,67
Au0.92Ti0.08,Tm2O3,10.44,137.92,9.36,0,1.80E-06,222.52,760.08,1.2,1423,67
Au0.92Ti0.08,Yb2O3,10.44,137.92,9.36,0,1.80E-06,222.52,469.68,1.2,1423,54
Au0.92Ti0.08,Lu2O3,10.44,137.92,9.36,0,1.80E-06,222.52,807.28,1.2,1423,63
Au0.92Ti0.08,Al2O3,10.44,137.92,9.36,0,1.80E-06,222.52,406.268,3.2,1423,62
Cu0.43Ti0.57,Y2O3,7.01,147.96,5.44,0,1.28E-05,207.33,752.48,1.2,1423,57
Cu0.43Ti0.57,Cd2O3,7.01,147.96,5.44,0,1.28E-05,207.33,270.568,1.2,1423,49
Cu0.43Ti0.57,Tb2O3,7.01,147.96,5.44,0,1.28E-05,207.33,684.48,1.2,1423,53
Cu0.43Ti0.57,Dy2O3,7.01,147.96,5.44,0,1.28E-05,207.33,706.88,1.2,1423,60
Cu0.43Ti0.57,Ho2O3,7.01,147.96,5.44,0,1.28E-05,207.33,731.68,1.2,1423,48
Cu0.43Ti0.57,Er2O3,7.01,147.96,5.44,0,1.28E-05,207.33,740.88,1.2,1423,59
Cu0.43Ti0.57,Tm2O3,7.01,147.96,5.44,0,1.28E-05,207.33,760.08,1.2,1423,58
Cu0.43Ti0.57,Yb2O3,7.01,147.96,5.44,0,1.28E-05,207.33,469.68,1.2,1423,29
Cu0.43Ti0.57,Lu2O3,7.01,147.96,5.44,0,1.28E-05,207.33,807.28,1.2,1423,60
Cu0.43Ti0.57,Al2O3,7.01,147.96,5.44,0,1.28E-05,207.33,406.268,3.2,1423,2
Sn0.96Ti0.04,Y2O3,13.6,139.84,9.68,0,9.01E-07,143.12,752.48,1.2,1423,31
Sn0.96Ti0.04,Cd2O3,13.6,139.84,9.68,0,9.01E-07,143.12,270.568,1.2,1423,29
Sn0.96Ti0.04,Dy2O3,13.6,139.84,9.68,0,9.01E-07,143.12,706.88,1.2,1423,32
Sn0.96Ti0.04,Ho2O3,13.6,139.84,9.68,0,9.01E-07,143.12,731.68,1.2,1423,32
Sn0.96Ti0.04,Er2O3,13.6,139.84,9.68,0,9.01E-07,143.12,740.88,1.2,1423,35
Sn0.96Ti0.04,Tm2O3,13.6,139.84,9.68,0,9.01E-07,143.12,760.08,1.2,1423,31
Sn0.96Ti0.04,Yb2O3,13.6,139.84,9.68,0,9.01E-07,143.12,469.68,1.2,1423,25
Sn0.96Ti0.04,Lu2O3,13.6,139.84,9.68,0,9.01E-07,143.12,807.28,1.2,1423,41
Sn0.96Ti0.04,Al2O3,13.6,139.84,9.68,0,9.01E-07,143.12,406.268,3.2,1423,59
Ge0.95Ti0.05,Y2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,752.48,1.2,1423,24
Ge0.95Ti0.05,Cd2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,270.568,1.2,1423,22
Ge0.95Ti0.05,Tb2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,684.48,1.2,1423,27
Ge0.95Ti0.05,Dy2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,706.88,1.2,1423,28
Ge0.95Ti0.05,Ho2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,731.68,1.2,1423,29
Ge0.95Ti0.05,Er2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,740.88,1.2,1423,32
Ge0.95Ti0.05,Tm2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,760.08,1.2,1423,27
Ge0.95Ti0.05,Yb2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,469.68,1.2,1423,22
Ge0.95Ti0.05,Lu2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,807.28,1.2,1423,24
Ge0.95Ti0.05,Al2O3,13.5,122,9.6,0.36385,1.13E-06,223.45,406.268,3.2,1423,39
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1423,129.1
Cu0.992Ti0.008,Al2O3,10.944,132.224,9.936,0,1.80E-07,224.752,406.268,3.2,1423,87.4
Cu0.979Ti0.021,Al2O3,10.853,132.588,9.832,0,4.73E-07,224.349,406.268,3.2,1423,68.4
Cu0.974Ti0.026,Al2O3,10.818,132.728,9.792,0,5.86E-07,224.194,406.268,3.2,1423,49.1
Cu0.95Ti0.05,Al2O3,10.65,133.4,9.6,0,1.13E-06,223.45,406.268,3.2,1423,20.4
Cu0.941Ti0.059,Al2O3,10.587,133.652,9.528,0,1.33E-06,223.171,406.268,3.2,1423,9.5
Cu0.924Ti0.076,Al2O3,10.468,134.128,9.392,0,1.71E-06,222.644,406.268,3.2,1423,3.5
Cu0.898Ti0.102,Al2O3,10.286,134.856,9.184,0,2.30E-06,221.838,406.268,3.2,1423,2.8
Cu,Y2O3,11,132,10,0,0,225,752.48,1.2,1423,141.1
Cu0.954Ti0.046,Y2O3,10.678,133.288,9.632,0,1.04E-06,223.574,752.48,1.2,1423,112.6
Cu0.897Ti0.103,Y2O3,10.279,134.884,9.176,0,2.32E-06,221.807,752.48,1.2,1423,80.7
Cu0.826Ti0.174,Y2O3,9.782,136.872,8.608,0,3.92E-06,219.606,752.48,1.2,1423,71.6
Cu0.748Ti0.252,Y2O3,9.236,139.056,7.984,0,5.68E-06,217.188,752.48,1.2,1423,61.1
Cu0.631Ti0.369,Y2O3,8.417,142.332,7.048,0,8.31E-06,213.561,752.48,1.2,1423,55.8
Cu0.566Ti0.434,Y2O3,7.962,144.152,6.528,0,9.78E-06,211.546,752.48,1.2,1423,55.8
Cu0.511Ti0.489,Y2O3,7.577,145.692,6.088,0,1.10E-05,209.841,752.48,1.2,1423,55.1
Cu0.406Ti0.594,Y2O3,6.842,148.632,5.248,0,1.34E-05,206.586,752.48,1.2,1423,54.4
Cu,Er2O3,11,132,10,0,0,225,740.88,1.2,1423,144.6
Cu0.963Ti0.037,Er2O3,10.741,133.036,9.704,0,8.34E-07,223.853,740.88,1.2,1423,118.9
Cu0.903Ti0.097,Er2O3,10.321,134.716,9.224,0,2.19E-06,221.993,740.88,1.2,1423,91.6
Cu0.848Ti0.152,Er2O3,9.936,136.256,8.784,0,3.43E-06,220.288,740.88,1.2,1423,81.4
Cu0.733Ti0.267,Er2O3,9.131,139.476,7.864,0,6.02E-06,216.723,740.88,1.2,1423,68.8
Cu0.663Ti0.337,Er2O3,8.641,141.436,7.304,0,7.59E-06,214.553,740.88,1.2,1423,64.6
Cu0.577Ti0.423,Er2O3,8.039,143.844,6.616,0,9.53E-06,211.887,740.88,1.2,1423,63.2
Cu0.496Ti0.504,Er2O3,7.472,146.112,5.968,0,1.14E-05,209.376,740.88,1.2,1423,62.5
Cu0.412Ti0.588,Er2O3,6.884,148.464,5.296,0,1.32E-05,206.772,740.88,1.2,1423,62.1
Cu,Y2O3,11,132,10,0,0,225,752.48,1.2,1423,137
Cu0.877Ge0.123,Y2O3,11.369,130.524,10,0.047109,0,225,752.48,1.2,1423,110
Cu0.843Ge0.157,Y2O3,11.471,130.116,10,0.060131,0,225,752.48,1.2,1423,90
Cu0.726Ge0.274,Y2O3,11.822,128.712,10,0.104942,0,225,752.48,1.2,1423,79
