Metal,Substrate,Me_MagpieData mean Column,Me_MagpieData mean CovalentRadius,Me_MagpieData mean NdValence,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,68
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,71
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1833,114
Fe,Al2O3Si1O2,8,132,6,0,2.1106628,229,478.4925,3,1873,78
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,119.8
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,114
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,111.4
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,105.7
Ni0.983Al0.017,Al2O3,10.051,123.949,7.864,0,0.58527299,225,406.268,3.2,1773,100.2
Ni0.971Al0.029,Al2O3,10.087,123.913,7.768,0,0.578128254,225,406.268,3.2,1773,95.1
Ni0.749Al0.251,Al2O3,10.753,123.247,5.992,0,0.44595063,225,406.268,3.2,1773,82.7
Ni0.632Al0.368,Al2O3,11.104,122.896,5.056,0,0.37628945,225,406.268,3.2,1773,76
Ni0.603Al0.397,Al2O3,11.191,122.809,4.824,0,0.359023004,225,406.268,3.2,1773,75.4
Ni0.505Al0.495,Al2O3,11.485,122.515,4.04,0,0.300674324,225,406.268,3.2,1773,76.7
Ni0.081Al0.919,Al2O3,12.757,121.243,0.648,0,0.048226971,225,406.268,3.2,1773,75.6
Ni0.053Al0.947,Al2O3,12.841,121.159,0.424,0,0.031555919,225,406.268,3.2,1773,65.3
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1773,74
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1773,70.5
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1773,64.7
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1773,58.6
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1748,137.9
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1753,127.2
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1763,120.4
